cat,yields,proc
UntaggedTag_0,0.22990751621364325,GGF
UntaggedTag_0,0.22955919386549795,GGFPLUSINT
UntaggedTag_0,0.08782728408277762,VBF
UntaggedTag_1,1.9729341306969843,GGF
UntaggedTag_1,1.9407130267295258,GGFPLUSINT
UntaggedTag_1,0.7287773629198,VBF
UntaggedTag_2,0.916352339392688,GGF
UntaggedTag_2,0.8918609878655843,GGFPLUSINT
UntaggedTag_2,0.2111360006238101,VBF
UntaggedTag_3,3.6257927656570246,GGF
UntaggedTag_3,3.4158867467067466,GGFPLUSINT
UntaggedTag_3,0.6509726592819334,VBF
UntaggedTag_4,0.7090595609770389,GGF
UntaggedTag_4,0.6862858981403406,GGFPLUSINT
UntaggedTag_4,0.06242403543069486,VBF
UntaggedTag_5,4.503355207214554,GGF
UntaggedTag_5,4.327853061260612,GGFPLUSINT
UntaggedTag_5,0.4080585280066771,VBF
UntaggedTag_6,0.964495806107152,GGF
UntaggedTag_6,0.9269887548834959,GGFPLUSINT
UntaggedTag_6,0.03487830646895418,VBF
UntaggedTag_7,5.445419117268102,GGF
UntaggedTag_7,5.21059704689651,GGFPLUSINT
UntaggedTag_7,0.22151871252458477,VBF
UntaggedTag_8,0.8797543191230943,GGF
UntaggedTag_8,0.874969501643136,GGFPLUSINT
UntaggedTag_8,0.025021190673442106,VBF
UntaggedTag_9,5.9794012379989,GGF
UntaggedTag_9,5.807789324591795,GGFPLUSINT
UntaggedTag_9,0.1357584151970741,VBF
